Time,Number of Individuals,,,,,
391,44,37,40,38,19,35.6
392,44,37,40,38,19,35.6
393,44,37,40,38,19,35.6
394,44,37,40,38,19,35.6
395,44,37,40,38,19,35.6
396,44,37,40,38,19,35.6
397,44,37,40,38,19,35.6
398,44,37,40,38,19,35.6
399,44,37,40,38,19,35.6
400,44,37,40,38,19,35.6
401,44,37,40,38,19,35.6
402,44,37,40,38,20,35.8
403,44,37,40,38,20,35.8
404,44,37,40,38,20,35.8
405,45,37,40,38,20,36
406,43,36,35,35,18,33.4
407,43,36,35,35,18,33.4
408,43,36,35,35,18,33.4
409,43,36,35,35,18,33.4
410,43,36,35,35,18,33.4
411,43,36,35,35,18,33.4
412,43,36,35,35,18,33.4
413,44,36,35,35,18,33.6
414,44,36,35,35,18,33.6
415,44,36,35,35,18,33.6
416,44,36,35,35,18,33.6
417,44,36,35,35,18,33.6
418,44,36,35,35,18,33.6
419,44,36,35,35,18,33.6
420,44,36,35,35,18,33.6
421,44,34,33,33,19,32.6
422,44,34,33,33,19,32.6
423,45,34,33,33,19,32.8
424,45,34,33,33,19,32.8
425,45,34,33,33,19,32.8
426,45,34,33,33,19,32.8
427,46,34,33,33,19,33
428,46,34,33,33,19,33
429,46,34,33,33,19,33
430,46,34,33,33,19,33
431,46,34,33,34,19,33.2
432,46,34,33,34,19,33.2
433,46,34,33,34,19,33.2
434,46,34,33,34,19,33.2
435,46,33,33,34,19,33
436,44,26,32,31,18,30.2
437,44,26,32,31,18,30.2
438,44,26,32,31,18,30.2
439,44,26,32,31,18,30.2
440,44,26,32,31,18,30.2
441,44,26,32,31,18,30.2
442,44,26,32,31,18,30.2
443,44,26,32,31,18,30.2
444,44,26,32,31,18,30.2
445,44,26,32,31,18,30.2
446,44,26,32,31,18,30.2
447,44,26,32,31,18,30.2
448,44,26,32,31,18,30.2
449,44,26,32,31,18,30.2
450,44,26,32,31,18,30.2
451,43,25,31,29,18,29.2
452,43,25,31,29,18,29.2
453,43,25,31,29,19,29.4
454,43,25,31,29,19,29.4
455,43,25,31,29,19,29.4
456,43,25,31,29,19,29.4
457,43,25,31,29,19,29.4
458,43,25,31,29,19,29.4
459,43,25,31,29,19,29.4
460,43,25,31,29,19,29.4
461,43,25,31,29,19,29.4
462,43,25,31,29,19,29.4
463,43,25,31,29,19,29.4
464,43,25,31,29,19,29.4
465,42,25,31,29,19,29.2
466,39,25,30,29,18,28.2
467,39,25,30,29,18,28.2
468,39,25,30,29,18,28.2
469,40,25,30,29,19,28.6
470,40,25,30,29,19,28.6
471,40,25,30,29,19,28.6
472,40,25,30,29,19,28.6
473,40,25,30,29,19,28.6
474,40,25,30,29,19,28.6
475,40,25,30,29,19,28.6
476,40,25,30,29,19,28.6
477,40,25,30,29,19,28.6
478,40,25,30,29,19,28.6
479,40,25,30,29,19,28.6
480,40,25,30,29,18,28.4
481,36,23,30,28,18,27
482,36,23,30,28,18,27
483,36,23,30,28,18,27
484,36,23,30,28,18,27
485,36,23,30,28,18,27
486,36,23,30,28,18,27
487,36,23,30,28,19,27.2
488,36,23,30,28,19,27.2
489,36,23,30,28,19,27.2
490,36,23,30,28,19,27.2
491,36,23,30,28,19,27.2
492,36,23,30,28,19,27.2
493,36,23,30,28,19,27.2
494,36,23,30,28,19,27.2
495,36,23,30,28,19,27.2
496,34,23,30,27,18,26.4
497,34,23,30,27,18,26.4
498,34,23,30,27,18,26.4
499,34,23,30,27,18,26.4
500,34,23,30,27,18,26.4
501,34,23,30,27,18,26.4
502,34,23,30,27,18,26.4
503,34,23,30,27,19,26.6
504,34,23,30,27,19,26.6
505,34,23,30,27,19,26.6
506,34,23,30,27,19,26.6
507,34,23,30,27,19,26.6
508,34,23,30,27,19,26.6
509,34,23,30,27,21,27
510,34,23,30,27,21,27
511,34,22,27,27,19,25.8
512,34,22,27,27,19,25.8
513,34,22,27,27,19,25.8
514,34,22,27,27,19,25.8
515,34,22,27,27,19,25.8
516,34,22,27,27,19,25.8
517,34,22,27,27,19,25.8
518,34,22,27,27,19,25.8
519,34,22,27,27,19,25.8
520,34,22,27,27,19,25.8
521,34,22,27,27,20,26
522,34,22,27,27,20,26
523,34,22,27,27,20,26
524,34,22,27,27,20,26
525,34,22,27,27,20,26
526,31,21,27,25,17,24.2
527,32,21,27,25,17,24.4
528,32,21,27,25,17,24.4
529,32,21,27,25,17,24.4
530,32,21,27,25,17,24.4
531,33,21,27,25,17,24.6
532,33,21,27,25,17,24.6
533,33,21,27,25,17,24.6
534,33,21,27,25,17,24.6
535,33,21,27,25,17,24.6
536,33,21,27,25,17,24.6
537,33,21,27,25,17,24.6
538,33,21,27,25,17,24.6
539,33,21,27,25,17,24.6
540,33,21,27,25,17,24.6
541,32,21,25,23,16,23.4
542,32,21,25,23,16,23.4
